series_id,Manufacturing,footnote_codes_x,date,supersector_code,industry_code,data_type_code,seasonal,series_title,footnote_codes_y,begin_year,begin_period,end_year,end_period
CES3000000006    ,8473.0,,1940-06-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,8432.0,,1940-07-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,9769.0,,1940-07-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,9766.0,,1940-07-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,8411.0,,1940-07-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,8765.0,,1940-08-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,8669.0,,1940-08-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,10157.0,,1940-08-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,10048.0,,1940-08-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,9101.0,,1940-09-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,8887.0,,1940-09-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000025    ,10024.0,,1940-09-01,30,30000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, manufacturing, seasonally adjusted",,1939,M03,2022,M12
CEU3000000001    ,10477.0,,1940-09-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,10258.0,,1940-09-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,10677.0,,1940-10-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,10471.0,,1940-10-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,9094.0,,1940-10-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,9289.0,,1940-10-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,10643.0,,1940-11-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,10781.0,,1940-11-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,9236.0,,1940-11-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,9378.0,,1940-11-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,10847.0,,1940-12-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,9437.0,,1940-12-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,10897.0,,1940-12-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000025    ,10654.0,,1940-12-01,30,30000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, manufacturing, seasonally adjusted",,1939,M03,2022,M12
CEU3000000006    ,9479.0,,1940-12-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,9579.0,,1941-01-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,10847.0,,1941-01-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
